YLR331C	Jumonji Interacting Protein
YOR044W	Hypothetical ORF
YOR045W	associates with TOM40|protein translocation complex component
YOR046C	RNA helicase
YOR047C	MTH1 homolog
YOR048C	5'-3' exoribonuclease
YOR049C	Resistance to Sphingoid long-chain Base. Putative transporter or flippase that translocates LCBs from the cytoplasmic side toward the extracytoplasmic side of the membrane.
YOR050C	Hypothetical ORF
YOR051C	Hypothetical ORF
YOR008C-A	diepoxybutane and mitomycin C resistance
YOR009W	cell wall mannoprotein
YOR010C	cold-shock induced protein of the Srp1p/Tip1p family of serine-alanine-rich proteins
YOR011W	ATP-binding cassette (ABC) family
YOR012W	Hypothetical ORF
YOR012W	Hypothetical ORF
YOR013W	Hypothetical ORF
YOR014W	protein phosphatase 2A (PP2A) B-type regulatory subunit
YOR015W	Hypothetical ORF
YOR016C	p24 protein involved in membrane trafficking
YOR017W	mitochondrial membrane protein
YOR018W	Resistance to o-dinitrobenzene, calcium, and zinc
YOR019W	Hypothetical ORF
YOR020C	heat shock protein 10
YOR021C	Hypothetical ORF
YOR022C	Hypothetical ORF
YOR023C	Ada histone acetyltransferase complex component
YOR024W	Hypothetical ORF
YOR025W	Homolog of SIR2
YOR026W	Protein required for cell cycle arrest in response to loss of microtubule function
YOR027W	heat shock protein also induced by canavanine and entry into stationary phase
YOR028C	bZIP (basic-leucine zipper) protein|can activate transcription from a promoter containing a Yap recognition site
YOL015W	Hypothetical ORF
YOL014W	Hypothetical ORF
YOL013C	Ubiquitin-protein ligase for endoplasmic reticulum-associated degradation.
YOL012C	evolutionarily conserved member of the histone H2A F/Z family of histone variants
YOL011W	phospholipase B (lysophospholipase)
YOL010W	protein similar to the RNA 3' terminal phosphate cyclase (RNA 3' terminal phosphate Cyclase-Like)
YOL009C	mitochondrial outer membrane protein. An Mdm12p homolog exists in S. Pombe which confers a dominant negative phenotype when expressed in S. cerevisiae
YOL008W	Hypothetical ORF
YOL007C	Appears to be a structural component of the chitin synthase 3 complex
YOL006C	topoisomerase I
YOL005C	RNA polymerase II core subunit
YOL004W	DNA binding protein|involved in transcriptional regulation
YOL003C	DHHC-CRD protein
YOL002C	Involved in PHO signaling pathway
YOL001W	Pho80p cyclin
YOR001W	Ribosomal RNA Processing
YOR002W	glucosyltransferase
YOR003W	subtilisin-like protease III
YOR004W	Protein required for cell viability
YOR005C	ATP dependent DNA ligase
YOR006C	Hypothetical ORF
YOR007C	small glutamine-rich tetratricopeptide repeat containing protein
YOR008C	cell wall integrity and stress response component 1
YOL037C	Hypothetical ORF
YOL036W	Hypothetical ORF
YOL035C	Hypothetical ORF
YOL034W	Structural maintenance of chromosomes (SMC) protein
YOL033W	glutamine-tRNA ligase
YOL032W	Hypothetical ORF
YOL031C	Nucleotide exchange factor
YOL030W	Hypothetical ORF
YOL029C	Hypothetical ORF
YOL028C	basic leucine zipper (bZIP) transcription factor
YOL027C	Mitochondrial Distribution and Morphology
YOL026C	Protein required for cell viability
YOL025W	affects longevity
YOL024W	Hypothetical ORF
YOL023W	mitochondrial initiation factor 2
YOL022C	Protein required for cell viability
YOL021C	3'-5' exoribonuclease complex subunit
YOL020W	tryptophan permease, high affinity
YOL019W	Hypothetical ORF
YOL018C	tSNARE that affects a late Golgi compartment
YOL017W	Establishes Silent Chromatin 8
YOL016C	calmodulin-dependent protein kinase
YOL059W	glycerol-3-phosphate dehydrogenase (NAD+)
YOL058W	arginosuccinate synthetase
YOL057W	Hypothetical ORF
YOL056W	phosphoglycerate mutase
YOL055C	THI for thiamine metabolism. Transcribed in the presence of low level of thiamine (10-8M) and turned off in the presence of high level (10-6M) of thiamine. Under the positive control of THI2 and THI3.
YOL054W	Pob3/Spt16 Histone associated
YOL053W	Hypothetical ORF
YOL053C-A	
YOL052C	S-adenosylmethionine decarboxylase
YOL051W	RNA polymerase II holoenzyme complex component|positive and negative transcriptional regulator of genes involved in mating-type specialization
YOL050C	Hypothetical ORF
YOL049W	glutathione synthetase
YOL048C	Hypothetical ORF
YOL047C	Hypothetical ORF
YOL046C	Hypothetical ORF
YOL045W	PAS kinase
YOL044W	44 kDa phosphorylated integral peroxisomal membrane protein
YOL043C	endonuclease III DNA base excision repair N-glycosylase
YOL042W	RNase (putative)|DNase (putative)
YOL041C	Nucleolar Protein; isolated as a mutant exhibiting synthetic lethality with a nop2 ts allele.
YOL040C	ribosomal protein S15 (S21) (rp52) (RIG protein)
YOL039W	60S acidic ribosomal protein P2A (L44) (A2) (YP2alpha)
YOL038W	20S proteasome alpha-type subunit
YOL083W	Hypothetical ORF
YOL082W	Receptor for biosynthetic cytoplasm to vacuole targeting
YOL081W	GTPase activating protein|highly homologous to Ira1p|neurofibromin homolog
YOL080C	RNA EXonuclease; member of 3'->5' exonuclease family. See Moser et al. 1997 Nucleic acids Res. 25:5110-5118
YOL079W	Hypothetical ORF
YOL078W	Adheres VOraciously (to TOR2)
YOL077C	Essential nucleolar protein required for biogenesis of the 60S ribosomal subunit
YOL076W	Mitochondrial distribution and morphology
YOL075C	Hypothetical ORF
YOL073C	Hypothetical ORF
YOL072W	
YOL071W	Early Meiotic Induction
YOL070C	Hypothetical ORF
YOL069W	53 kDa coiled-coil protein
YOL068C	Homolog of SIR2
YOL067C	transcription factor
YOL066C	DRAP deaminase|pseudouridine synthase
YOL065C	inositol polyphosphate 5-phosphatase
YOL064C	3'(2')5'-bisphosphate nucleotidase
YOL063C	MMS1 Related
YOL062C	clathrin associated protein complex medium subunit
YOL061W	phosphoribosylpyrophosphate synthetase (ribose-phosphate pyrophosphokinase)
YOL060C	putative hemolysin-like protein with three transmembrane domains
YOL105C	contains novel cysteine motif|integral membrane protein (putative)|similar to SLG1 (WSC1), WSC2 and WSC4
YOL104C	Meiosis-specific telomere protein Ndj1p is required for bouquet formation, effective homologue pairing, ordered cross-over distribution (interference), sister chromatid cohesion at meiotic telomeres and segregation of small chromosomes.
YOL103W	myo-inositol transporter
YOL102C	tRNA 2'-phosphotransferase
YOL101C	Hypothetical ORF
YOL100W	Pkb-activating Kinase Homologue
YOL099C	Hypothetical ORF
YOL098C	Hypothetical ORF
YOL097C	tryptophan-tRNA ligase
YOL096C	3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase
YOL095C	Helicase in MItochondria
YOL094C	replication factor C subunit 4|similar to human RFC 40 kDa subunit
YOL093W	responsible for most, if not all, m(1)G(9) modification of tRNAs.
YOL092W	Hypothetical ORF
YOL091W	Component of the meiotic outer plaque, a membrane-organizing center that assembles on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane
YOL090W	mutS homolog
YOL089C	contains zinc finger|transcription factor (putative)
YOL088C	protein disulfide isomerase related protein
YOL087C	Hypothetical ORF
YOL086C	alcohol dehydrogenase
YOL085C	Hypothetical ORF
YOL084W	
YOL129W	
YOL128C	protein kinase
YOL127W	ribosomal protein L25 (rpl6L) (YL25)
YOL126C	malate dehydrogenase
YOL125W	Hypothetical ORF
YOL124C	Hypothetical ORF
YOL123W	cleavage and polyadenylation factor CF I component involved in pre-mRNA 3'-end processing
YOL122C	plasma membrane/mitochondrial membrane protein
YOL120C	ribosomal protein L18A (rp28A)
YOL119C	monocarboxylate permease homologue
YOL118C	Hypothetical ORF
YOL117W	COP9 signalosome (CSN) subunit
YOL116W	43 kDa protein|transcriptional activator
YOL115W	DNA polymerase sigma
YOL114C	Hypothetical ORF
YOL113W	Serine/threonine protein kinase with similarity to Ste20p and Cla4p
YOL112W	Multicopy Suppressor of Bud Emergence
YOL111C	Hypothetical ORF
YOL110W	Involved in RAS localization and palmitoylation
YOL109W	Overexpression causes resistance to Zeocin
YOL108C	basic helix-loop-helix (bHLH) protein
YOL107W	Hypothetical ORF
YOL106W	Hypothetical ORF
YOL151W	induced by osmotic stress; similar to dihydroflavonol 4-reductase from plants
YOL150C	Hypothetical ORF
YOL149W	Decapping protein involved in mRNA degradation
YOL148C	histone acetyltransferase SAGA complex member|transcription factor
YOL147C	peroxisomal membrane protein
YOL146W	a subunit of the GINS complex required for chromosomal DNA replication
YOL145C	CTR9 is required for normal CLN1 and CLN2 G1 cyclin expression
YOL144W	Nucleolar protein required for 60S ribosome biogenesis
YOL143C	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase)
YOL142W	3' -> 5' exoribonuclease
YOL141W	PPM1 homolog|carboxy methyl transferase
YOL140W	acetylornithine aminotransferase
YOL139C	mRNA cap binding protein eIF-4E
YOL138C	Hypothetical ORF
YOL137W	Bypass of Stop Codon transcript encoded by this ORF shows a high level of stop codon bypass
YOL136C	6-phosphofructo-2-kinase
YOL135C	RNA polymerase II holoenzyme/mediator subunit
YOL134C	Protein required for cell viability
YOL133W	Skp1-Cullin-F-box ubiquitin protein ligase (SCF) subunit
YOL132W	Hypothetical ORF
YOL131W	Hypothetical ORF
YOL130W	ion transporter (putative)
YOL166C	Hypothetical ORF
YOL165C	aryl-alcohol dehydrogenase (putative)
YOL164W	Hypothetical ORF
YOL163W	Hypothetical ORF, member of the Dal5p subfamily of the major facilitator family
YOL162W	Hypothetical ORF, member of the Dal5p subfamily of the major facilitator family
YOL161C	Hypothetical ORF
YOL160W	Hypothetical ORF
YOL159C	Hypothetical ORF
YOL158C	enterobactin transporter
YOL155C	ORF
YOL155C	ORF
YOL154W	Zinc and pH regulated Surface protein. Similar to Candida albicans protein Pra1, a pH-regulated cell surface glycoprotein with weak similarity to zinc metalloproteinases.
YOL153C	Hypothetical ORF
YOL152W	similar to FRE2
YNR064C	Hypothetical ORF
YNR065C	Interacts with proteins of the endocytic machinery
YNR066C	Hypothetical ORF
YNR067C	Daughter Specific Expression 4
YNR068C	Hypothetical ORF
YNR069C	Bypass of Stop Codon transcript encoded by this ORF shows a high level of stop codon bypass
YNR070W	ABC transporter of the PDR family
YNR071C	Hypothetical ORF
YNR073C	Hypothetical ORF
YNR074C	putative reductase
YNR076W	member of the seripauperin protein/gene family
YNR032C-A	ubiquitin-like modifier
YNR034w-a	Hypothetical ORF
YNL239W	aminopeptidase of cysteine protease family
YNL044W	Interacts with YPT proteins
YNR042W	Hypothetical ORF
YNR043W	mevalonate pyrophosphate decarboxylase
YNR044W	a-agglutinin anchorage subunit
YNR045W	translational activator of cytochrome C oxidase
YNR046W	Protein required for cell viability
YNR047W	Hypothetical ORF
YNR048W	Hypothetical ORF
YNR049C	multicopy suppressor of sec1; small hydrophilic protein, enriched in microsomal membrane fraction, interacts with Sec1p
YNR050C	Seventh step in lysine biosynthesis pathway
YNR051C	protein of unknown function
YNR052C	transcription factor (putative)
YNR053C	part of a pre-60S complex
YNR053C	part of a pre-60S complex
YNR054C	Protein required for cell viability
YNR055C	ion transporter (putative)|similar to the major facilitator superfamily of transporters
YNR056C	transmembrane regulator of KAPA/DAPA transport
YNR057C	dethiobiotin synthetase
YNR058W	7,8-diamino-pelargonic acid aminotransferase (DAPA) aminotransferase
YNR059W	mannosyltransferase (putative)
YNR060W	similar to FRE2
YNR061C	Hypothetical ORF
YNR062C	Hypothetical ORF
YNR063W	Hypothetical ORF
YNR020C	Hypothetical ORF
YNR021W	Hypothetical ORF
YNR022C	Mitochondrial Ribosome Protein, Large Subunit
YNR023W	RSC chromatin remodeling complex Rsc6p subunit homolog|SWI/SNF transcription activation complex 73 kDa subunit
YNR024W	Hypothetical ORF
YNR025C	Hypothetical ORF
YNR026C	guanine nucleotide exchange factor for Sar1p
YNR027W	
YNR028W	cyclophilin|peptidyl-prolyl cis-trans isomerase (PPIase)
YNR029C	Hypothetical ORF
YNR030W	mannosyltransferase
YNR031C	MAP kinase kinase kinase|activator of Pbs2p
YNR032W	Serine/threonine protein phosphatase involved in glycogen accumulation
YNR033W	aminodeoxychorismate synthase
YNR034W	Multicopy Suppressor Of los1
YNR035C	Arp complex subunit
YNR036C	Hypothetical ORF
YNR037C	mitochondrial ribosome small subunit component
YNR038W	RNA helicase (putative)
YNR039C	zinc-regulated gene
YNR040W	Hypothetical ORF
YNR041C	para hydroxybenzoate: polyprenyl transferase
YNL004W	hypothetical RNA-binding protein
YNL003C	Member of family of mitochondrial carrier proteins
YNL002C	Significant sequence similarity to RPL7B, but neither can functionally replace the other. Does not correspond to any ribosomal component identified so far, based on its biochemical features
YNL001W	an ORF of unknown function located in a centromeric region duplicated between chromosomes III and XIV (DOM34 homologue on chromosome III is a pseudogene)
YNR001C	citrate synthase
YNR002C	transmembrane protein (putative)
YNR003C	RNA polymerase III (C) 34 kDa subunit
YNR004W	Hypothetical ORF
YNR005C	Hypothetical ORF
YNR006W	cysteine rich putative zinc finger essential for function|hydrophilic protein
YNR007C	Protein involved in autophagocytosis during starvation
YNR008W	phospholipid:diacylglycerol acyltransferase E.C. 2.3.1.158
YNR009W	Hypothetical ORF
YNR010W	RNA polymerase II mediator subcomplex component
YNR011C	RNA splicing factor RNA-dependent NTPase with DEAD-box motif
YNR012W	uridine kinase
YNR013C	Low-affinity phosphate transporter
YNR014W	Hypothetical ORF
YNR015W	tRNA dihydrouridine synthase
YNR016C	acetyl CoA carboxylase
YNR017W	23 kDa mitochondrial inner membrane protein
YNR018W	Hypothetical ORF
YNR019W	acyl-CoA cholesterol acyltransferase (sterol-ester synthetase)
YNL027W	transcription factor
YNL026W	Essential protein with similarity to S. pombe hypothetical protein E241976
YNL025C	C-type cyclin|associates with the Ssn3p cyclin-dependent kinase
YNL024C	Hypothetical ORF
YNL023C	transcription factor homolog; similarity to Drosophila melanogaster shuttle craft protein; similarity to human NFX1 protein; similarity to human DNA-binding protein tenascin
YNL022C	Non-essential protein with similarity to S. pombe hypothetical protein E349594
YNL021W	histone deacetylase|shares sequence similarity with Rpd3p, Hos1p, Hos2p, and Hos3p
YNL020C	serine/threonine kinase (putative)
YNL017C	Hypothetical ORF
YNL017C	Hypothetical ORF
YNL017C	Hypothetical ORF
YNL016W	poly(A) binding protein
YNL015W	proteinase inhibitor I2B (PBI2)
YNL014W	Translation elongation factor 3 (EF-3)
YNL013C	Hypothetical ORF
YNL012W	similar to phospholipase B
YNL011C	Hypothetical ORF
YNL010W	Hypothetical ORF
YNL009W	NADP-dependent isocitrate dehydrogenase
YNL008C	Amino acid Sensor-Independent (ASI) genes encode membrane proteins Asi1p, Asi2p and Asi3p. Asi1p and Asi3p have conserved ubiquitin ligase-like RING domains at their C-termini
YNL007C	HSP40 family chaperone
YNL006W	Required for amino acid permease transport from the Golgi to the cell surface
YNL005C	ribosomal protein (YmL2) (E. coli L27)
YNL051W	Conserved Oligomeric Golgi complex 5 Complexed with Cog8p
YNL050C	Hypothetical ORF
YNL049C	zinc finger protein (putative)
YNL048W	Specifies addition of the terminal alpha 1,2-Man to the Man5GlcNAc2-PP-dolichol N-Glycosylation intermediate
YNL047C	AVO2 interactor
YNL046W	Hypothetical ORF
YNL045W	Similar to human LTA4 hydrolase but in vivo substrates not yet defined.
YNL043C	Hypothetical ORF
YNL042W	bypass of PAM1
YNL041C	Conserved Oligomeric Golgi complex 6 Complexed with Cog8p; interacts with Cog2p
YNL040W	Hypothetical ORF
YNL039W	TFIIIB 90 kDa subunit
YNL038W	human Pig-H homolog (functional and sequence homolog)
YNL037C	isocitrate dehydrogenase 1 alpha-4-beta-4 subunit
YNL036W	carbonic anhydrase-like protein
YNL035C	Hypothetical ORF
YNL034W	Hypothetical ORF
YNL033W	Hypothetical ORF
YNL032W	tyrosine phosphatase
YNL031C	histone H3 (HHT1 and HHT2 code for identical proteins)
YNL030W	histone H4 (HHF1 and HHF2 code for identical proteins)
YNL029C	mannosyltransferase (putative)
YNL028W	Hypothetical ORF
YNL073W	lysine-tRNA ligase
YNL072W	RNase H(35), a 35 kDa ribonuclease H
YNL071W	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase component (E2)
YNL070W	translocase of the outer mitochondrial membrane
YNL069C	ribosomal protein L16B (L21B) (rp23) (YL15)
YNL068C	forkhead protein
YNL067W	ribosomal protein L9B (L8B) (rp24) (YL11)
YNL067W	ribosomal protein L9B (L8B) (rp24) (YL11)
YNL066W	Protein involved in the aging process. Related to glucanases.
YNL065W	multidrug resistance transporter
YNL064C	heat shock protein|yeast dnaJ homolog (nuclear envelope protein)
YNL063W	
YNL062C	RNA-binding protein|subunit of tRNA(1-methyladenosine) methyltransferase, along with Gcd14p
YNL061W	90 kDa protein homologous to a human proliferation-associated nucleolar protein, p120
YNL059C	actin related protein
YNL058C	Hypothetical ORF
YNL057W	Hypothetical ORF
YNL056W	Hypothetical ORF
YNL055C	porin|voltage-dependent anion channel (VDAC)
YNL054W	Integral 128-kDa vacuolar membrane protein; may function to regulate Fab1 kinase activity.
YNL053W	protein tyrosine phosphatase
YNL052W	cytochrome c oxidase chain Va
YNL096C	ribosomal protein S7B (rp30)
YNL095C	Hypothetical ORF
YNL094W	Unknown
YNL093W	GTP-binding protein|rab family
YNL092W	Hypothetical ORF
YNL091W	Negative affector of Salt Tolerance
YNL090W	GTP-binding protein|rho subfamily
YNL089C	Hypothetical ORF
YNL088W	topoisomerase II
YNL087W	Hypothetical ORF; has similarity to YOR086c
YNL086W	Hypothetical ORF
YNL085W	retroviral protease signature protein
YNL084C	Required for endocytosis and organization of the cytoskeleton
YNL083W	Hypothetical ORF
YNL082W	mutL homolog|similar to Mlh1p, associates with Mlh1p, possibly forming a heterodimer, Pms1p and Msh1p act in concert to bind to a Msh2p-heteroduplex complex containing a G-T mismatch
YNL081C	
YNL080C	Deletion causes slight growth defect, similar to U. maydis myp1 protein
YNL079C	tropomyosin I
YNL078W	
YNL077W	J-protein co-chaperone family 20 kDa
YNL076W	negative transcriptional regulator
YNL075W	U3 snoRNP protein
YNL074C	Protein of unknown function
YNL117W	carbon-catabolite sensitive malate synthase
YNL116W	Hypothetical ORF
YNL115C	Hypothetical ORF
YNL114C	Protein required for cell viability
YNL113W	RNA polymerases I (A) and III (C) subunit
YNL112W	ATP dependent RNA helicase|dead box protein
YNL112W	ATP dependent RNA helicase|dead box protein
YNL111C	cytochrome b5
YNL110C	ribosome biogenesis
YNL109W	Hypothetical ORF
YNL108C	Hypothetical ORF
YNL107W	Yeast homolog of the human leukemogenic protein AF9; member of a yeast chromatin modifying complex
YNL106C	inositol polyphosphate 5-phosphatase
YNL105W	Hypothetical ORF
YNL104C	alpha-isopropylmalate synthase (2-isopropylmalate synthase)
YNL103W	leucine zipper family|transcriptional activator
YNL102W	DNA polymerase I alpha subunit p180
YNL101W	Gln (Asn), Ile (Leu), Tyr transporter
YNL100W	Hypothetical ORF
YNL099C	Oxidant-induced Cell-cycle Arrest 1
YNL098C	small GTP-binding protein
YNL097C	Involved in expression of PHO5
YNL096C	ribosomal protein S7B (rp30)
YNL140C	Hypothetical ORF
YNL140C	Hypothetical ORF
YNL138W	70 kDa adenylyl cyclase-associated protein
YNL137C	mitochondrial S4 ribosomal protein (putative)
YNL136W	Hypothetical ORF
YNL135C	peptidyl-prolyl cis-trans isomerase (PPIase)
YNL134C	
YNL133C	Function required for Yeast Viability on toxin exposure
YNL132W	Killer toxin REsistant
YNL131W	mitochondrial import receptor protein
YNL130C	sn-1,2-diacylglycerol cholinephosphotransferase
YNL129W	Hypothetical ORF
YNL128W	tyrosine phosphatase (putative)
YNL127W	Pheromone Arrest
YNL126W	spindle pole body component
YNL125C	monocarboxylate permease (putative)
YNL124W	Nuclear Assembly Factor
YNL123W	Hypothetical ORF
YNL122C	Hypothetical ORF
YNL121C	70 kDa mitochondrial specialized import receptor of the outer membrane
YNL120C	Hypothetical ORF
YNL119W	Hypothetical ORF
YNL118C	Mrna Decapping. essential suppressor of the respiratory deficiency of a pet mutant
YNL163C	GTPase
YNL162W	ribosomal protein L42A (YL27) (L41A)
YNL161W	serine/threonine protein kinase
YNL160W	gp37, a glycoprotein synthesized in response to nutrient limitation which is homologous to the sporulation-specific SPS100 gene
YNL159C	Amino acid Sensor-Independent (ASI) genes encode membrane proteins Asi1p, Asi2p and Asi3p.
YNL158W	Protein required for cell viability
YNL157W	Hypothetical ORF
YNL156C	potential homolog to mammalian Insig1
YNL155W	Hypothetical ORF
YNL154C	casein kinase I homolog
YNL153C	bovine prefoldin subunit 4 homolog (putative)
YNL152W	Protein required for cell viability
YNL151C	HMG1-like protein|RNA polymerase III (C) 31 kDa subunit
YNL150W	Protein required for cell viability
YNL149C	Protein required for cell viability
YNL148C	tubulin folding cofactor B
YNL147W	snRNP protein
YNL146W	Hypothetical ORF
YNL145W	a-factor mating pheromone precursor
YNL144C	Hypothetical ORF
YNL143C	Hypothetical ORF
YNL142W	ammonia transport protein
YNL141W	adenine aminohydrolase (adenine deaminase)
YNL186W	ubiquitin-processing protease (putative)
YNL185C	ribosomal protein large subunit
YNL184C	Hypothetical ORF
YNL183C	protein kinase homolog
YNL182C	Involved in Processing ITS2
YNL181W	Protein required for cell viability
YNL179C	Hypothetical ORF
YNL178W	ribosomal protein S3 (rp13) (YS3)
YNL177C	Hypothetical ORF
YNL176C	Hypothetical ORF
YNL175C	Nucleolar Protein 13
YNL174W	Hypothetical ORF
YNL173C	multicopy suppressor of bem1 mutation, may be involved in G-protein mediated signal transduction; binds cruciform DNA
YNL172W	ubiquitin ligase subunit
YNL171C	Hypothetical ORF
YNL170W	Sporulation
YNL169C	phosphatidylserine decarboxylase
YNL168C	Hypothetical ORF
YNL167C	CREB like trancsriptional repressor
YNL166C	bud neck involved; localizes to mother-bud neck in a septin-dependent manner; bni5 shows synthetic enhancement of septin Ts- mutant phenotypes.
YNL165W	Hypothetical ORF
YNL164C	Inhibition of Bud Division
YNL208W	Hypothetical ORF
YNL207W	Protein required for cell viability
YNL206C	Regulator of Ty1 Transposition - same phenotype as RTT101 - RTT105, disruption causes increase in Ty1 transposition. Isolated from the same screen as the other named RTT genes.
YNL205C	Hypothetical ORF
YNL205C	Hypothetical ORF
YNL204C	transcription factor
YNL203C	Hypothetical ORF
YNL202W	2,4-dienoyl-CoA reductase
YNL201C	Platinum Sensitivity
YNL200C	Hypothetical ORF; similarity to human TGR-CL10C, thyroidal receptor for N-acetylglucosamine
YNL199C	transcription factor
YNL198C	Hypothetical ORF
YNL197C	RNA binding protein (putative)
YNL196C	Sporulation-specific protein with a leucine zipper motif
YNL195C	Hypothetical ORF
YNL194C	Hypothetical ORF
YNL193W	Hypothetical ORF
YNL192W	chitin synthase 1
YNL191W	Hypothetical ORF
YNL190W	Hypothetical ORF
YNL189W	karyopherin alpha
YNL188W	involved in spindle pole body duplication and karyogamy, interacts with Cdc31p, localizes to the spindle pole body
YNL187W	Hypothetical ORF
YNL230C	elongin A transcription elongation factor
YNL229C	glutathione transferase (putative)|transcriptional regulator|prion
YNL227C	Hypothetical ORF
YNL228W	Hypothetical ORF
YNL226W	Hypothetical ORF
YNL225C	chaotic nuclear migration; predicted mass is 67kDa
YNL224C	Hypothetical ORF
YNL223W	anchor protein|mediates attachment of autophagosomes to microtubules
YNL222W	functionally related to TFIIB, affects start site selection in vivo
YNL221C	nuclear RNase P and RNase MRP component
YNL220W	adenylosuccinate synthetase
YNL219C	mannosyltransferase
YNL218W	Maintenance of Genome Stability 1
YNL217W	Hypothetical ORF
YNL216W	repressor activator protein
YNL215W	Hypothetical ORF
YNL214W	23 kDa peroxisome associated protein, binds Pex14p
YNL213C	Hypothetical ORF
YNL212W	Vacuole import and degradation
YNL211C	Hypothetical ORF
YNL210W	RNA-binding motif protein required for MRE2-dependent mRNA splicing
YNL209W	SSB1 homolog|heat shock protein of HSP70 family
YNL254C	Hypothetical ORF
YNL253W	transcription export complex component
YNL252C	ribosomal protein large subunit
YNL251C	RNA recognition motif-containing protein that participates in sequence-specific regulation of nuclear pre-mRNA abundance
YNL250W	Mre11-Rad50-Xrs2 protein complex member involved in joining double-stranded breaks and DNA recombination
YNL249C	Overexpression leads to increased levels of the lyase PDC1
YNL248C	RNA polymerase A 49 kDa alpha subunit
YNL247W	Protein required for cell viability
YNL246W	
YNL245C	Complexed with Cef1p
YNL244C	translation initiation factor eIF1
YNL243W	transmembrane protein
YNL242W	peripheral membrane protein
YNL241C	glucose-6-phosphate dehydrogenase
YNL240C	Nuclear architecture related protein with homology to human Narf (Nuclear prelamin A Recognition Factor)
YNL238W	Ca2+-dependent serine protease
YNL237W	Yeast putative Transmembrane Protein
YNL236W	RNA polymerase II holoenzyme/mediator subunit
YNL235C	Hypothetical ORF
YNL234W	ORF
YNL233W	required to link Chs3p and Chs4p to the septins
YNL232W	Represses the replication of double-stranded RNA viruses, protecting the host from the otherwise lethal effects of the virus
YNL231C	Pdr17p homolog|Sec14p homolog
YNL276C	Hypothetical ORF
YNL275W	transporter
YNL274C	Putative hydroxyisocaproate dehydrogenase
YNL273W	topoisomerase I interacting factor 1
YNL272C	GDP/GTP exchange factor
YNL271C	formin, involved in spindle orientation
YNL270C	basic amino acid permease
YNL269W	Bypass of Stop Codon transcript encoded by this ORF shows a high level of stop codon bypass
YNL268W	lysine permease
YNL267W	phosphatidylinositol 4-kinase
YNL266W	Hypothetical ORF
YNL265C	Similar to Nuf1p (spindle pole body component)
YNL264C	Pdr16p homolog|Sec14p homolog
YNL263C	Yip1-Interacting Factor, shows similarity to NADH dehydrogenases
YNL262W	DNA polymerase II
YNL261W	ATP-binding site (putative)|origin recognition complex fifth largest subunit
YNL260C	Protein required for cell viability
YNL259C	copper binding homeostasis protein (putative)
YNL258C	dsl1 mutations are suppressed by a dominant allele of SLY1, called sly1-20
YNL257C	transcriptional activator (putative)
YNL256W	dihydro-6-hydroxymethylpterin pyrophosphokinase|dihydroneopterin aldolase|dihydropteroate synthetase
YNL255C	GIG3 suppressor
YNL299W	DNA polymerase sigma
YNL298W	Ste20p homolog|protein kinase
YNL297C	protein with similarity to N-terminal region of the human protein BIG1
YNL296W	Hypothetical ORF
YNL295W	Hypothetical ORF
YNL294C	Unknown function
YNL293W	GTPase activating protein (GAP) for Ypt6
YNL292W	pseudouridine synthase
YNL291C	N-glycosylated integral plasma membrane protein
YNL290W	replication factor C subunit 3|similar to human RFC 36 kDa subunit
YNL289W	G1 cyclin|associates with PHO85
YNL288W	CCR4 Associated Factor 40 kDa
YNL287W	PEST sequence-containing protein|non-clathrin coat protein
YNL286W	cold sensitive U2 snRNA Supressor
YNL285W	Hypothetical ORF
YNL284C	ribosomal protein (YmL10)
YNL283C	contains novel cysteine motif|integral membrane protein (putative)|similar to SLG1 (WSC1), WSC3 and WSC4
YNL282W	RNase P and RNase MRP subunit
YNL281W	high copy Hsp90 supressor
YNL280C	sterol C-14 reductase
YNL279W	pheromone-regulated membrane protein
YNL278W	CCR4 Associated Factor 120 kDa
YNL277W	homoserine O-trans-acetylase
YNL321W	not essential for vegetative growth
YNL320W	Hypothetical ORF
YNL319W	Hypothetical ORF
YNL318C	hexose transporter
YNL317W	polyadenylation factor I (PF I)
YNL316C	prephenate dehydratase
YNL315C	essential for assembly of a functional F1-ATPase; binds the beta subunit of F1-ATPase.
YNL314W	positive transcriptional regulator
YNL313C	Protein required for cell viability
YNL312W	29% identical to the human p34 subunit of RF-A|replication factor RF-A subunit 2
YNL311C	F-box protein
YNL310C	Protein required for cell viability
YNL309W	binds Sin3p in two-hybrid assay and is present in a large protein complex with Sin3p and Stb2p
YNL308C	Krr1p binding protein
YNL307C	43.1 kDa serine/threonine/tyrosine protein kinase
YNL306W	
YNL305C	Hypothetical ORF
YNL304W	acts positively on mitochondrial distribution toward the bud.
YNL303W	Hypothetical ORF
YNL302C	ribosomal protein S19B (rp55B) (S16aB) (YS16B)
YNL301C	ribosomal protein L18B (rp28B)
YNL301C	ribosomal protein L18B (rp28B)
YNL300W	Hypothetical ORF
YNL335W	Hypothetical ORF
YNL334C	SNZ2 proximal ORF, stationary phase induced gene
YNL333W	Snooze: stationary phase-induced gene family
YNL331C	aryl-alcohol dehydrogenase (putative)
YNL330C	histone deacetylase
